accx,accy,accz,grox,groy,groz,magx,magy,magz,count
-76,112,7136,42,646,-474,0,0,0,138
-24,108,7120,57,689,-494,0,0,0,139
-76,84,7128,52,718,-523,0,0,0,140
-48,72,7112,56,765,-552,0,0,0,141
-76,120,7124,117,691,-576,0,0,0,142
-48,144,7144,60,681,-516,0,0,0,143
-76,72,7116,66,678,-424,0,0,0,144
-64,108,7088,63,706,-477,0,0,0,145
-84,164,7148,95,658,-513,0,0,0,146
-52,80,7084,120,670,-588,0,0,0,147
-40,44,7076,100,701,-521,0,0,0,148
-100,116,7136,104,755,-552,0,0,0,149
-92,112,7100,88,695,-522,0,0,0,150
-60,172,7072,63,700,-524,0,0,0,151
-64,148,7024,61,609,-499,0,0,0,152
-104,64,7220,42,686,-506,0,0,0,153
-64,36,7200,96,663,-495,0,0,0,154
-36,100,7128,52,642,-562,0,0,0,155
-48,52,7052,50,658,-494,0,0,0,156
-20,60,7056,103,684,-512,0,0,0,157
-76,120,7112,35,713,-516,0,0,0,158
-36,136,7080,17,665,-465,0,0,0,159
-4,84,7212,22,681,-514,0,0,0,160
-96,76,7164,118,688,-488,0,0,0,161
-84,76,7168,76,691,-564,0,0,0,162
-68,64,7160,36,691,-534,0,0,0,163
-68,40,7148,21,742,-498,0,0,0,164
-36,104,7036,33,680,-512,0,0,0,165
4,84,7140,62,689,-434,0,0,0,166
-40,132,7100,85,670,-487,0,0,0,167
-20,108,7084,74,678,-443,0,0,0,168
-56,88,7116,41,649,-424,0,0,0,169
-36,96,7136,44,650,-502,0,0,0,170
-60,64,7136,75,718,-564,0,0,0,171
-72,80,7144,70,730,-474,0,0,0,172
-44,72,7132,52,615,-480,0,0,0,173
-36,124,7092,91,681,-540,0,0,0,174
-80,60,7136,71,688,-539,0,0,0,177
-84,80,7096,48,644,-480,0,0,0,178
4,124,7080,60,674,-555,0,0,0,179
-36,84,7088,41,653,-497,0,0,0,180
-40,64,7112,108,711,-525,0,0,0,181
-36,24,7140,94,632,-486,0,0,0,182
-60,144,7072,45,699,-554,0,0,0,183
-40,136,7084,56,732,-467,0,0,0,184
-68,92,7160,15,695,-578,0,0,0,185
-4,40,7080,72,682,-454,0,0,0,186
-76,88,7176,63,686,-521,0,0,0,187
-56,152,7100,92,673,-546,0,0,0,188
-72,124,7168,80,695,-528,0,0,0,189
-32,60,7076,64,643,-578,0,0,0,190
-108,124,7128,77,672,-539,0,0,0,191
-24,64,7088,67,674,-497,0,0,0,192
-44,52,7136,66,634,-574,0,0,0,193
-64,132,7116,49,715,-550,0,0,0,194
-56,100,7128,101,712,-525,0,0,0,195
-12,160,7080,54,665,-566,0,0,0,196
-72,72,7072,59,691,-503,0,0,0,197
-28,100,7152,48,641,-527,0,0,0,198
40,100,7040,80,637,-526,0,0,0,199
-80,76,7112,56,647,-476,0,0,0,200
-44,176,7188,92,716,-549,0,0,0,201
-56,-24,7100,36,697,-540,0,0,0,202
-124,68,7196,74,712,-454,0,0,0,203
-24,96,7160,47,651,-501,0,0,0,204
-84,80,7120,94,697,-555,0,0,0,205
-72,152,7096,56,683,-499,0,0,0,206
-84,120,7128,78,696,-486,0,0,0,207
-32,136,7100,87,661,-500,0,0,0,208
-56,108,7184,38,713,-542,0,0,0,209
-68,140,7248,95,651,-543,0,0,0,210
-28,64,7140,89,673,-559,0,0,0,211
-64,176,7156,156,674,-495,0,0,0,212
-20,96,7072,101,691,-500,0,0,0,213
-64,132,7048,53,675,-524,0,0,0,214
-60,92,7152,42,701,-504,0,0,0,215
-72,68,7076,42,653,-469,0,0,0,216
-68,56,7032,149,691,-574,0,0,0,217
-108,88,7168,87,704,-482,0,0,0,218
-44,60,7072,111,690,-544,0,0,0,219
4,88,7116,24,673,-512,0,0,0,220
-52,60,7124,87,679,-557,0,0,0,221
-16,128,7184,141,653,-502,0,0,0,222
-44,84,7108,85,714,-493,0,0,0,223
-40,120,7120,106,692,-467,0,0,0,224
-52,116,7188,81,620,-502,0,0,0,225
-52,116,7156,40,695,-519,0,0,0,226
-36,56,7136,61,642,-489,0,0,0,227
-52,128,7116,53,707,-493,0,0,0,228
-76,88,7184,110,705,-522,0,0,0,229
-28,112,7084,91,716,-518,0,0,0,230
-60,96,7144,84,705,-492,0,0,0,231
-4,120,7172,61,615,-512,0,0,0,232
-32,64,7104,64,702,-533,0,0,0,233
-100,116,7132,54,669,-507,0,0,0,234
-72,92,7132,76,719,-530,0,0,0,235
-16,100,7132,114,722,-437,0,0,0,236
-60,88,7128,105,756,-540,0,0,0,237
-48,140,7140,77,689,-552,0,0,0,238
-96,124,7032,78,679,-472,0,0,0,239
-60,108,7184,75,625,-540,0,0,0,240
-40,100,7136,69,715,-510,0,0,0,241
-116,64,7140,64,632,-500,0,0,0,242
-16,136,7068,84,676,-503,0,0,0,243
-92,100,7136,20,638,-507,0,0,0,244
-56,112,7128,42,677,-472,0,0,0,245
-72,88,7116,82,708,-423,0,0,0,246
-80,100,7116,61,682,-519,0,0,0,247
-52,132,7160,71,695,-506,0,0,0,248
-40,172,7176,113,698,-493,0,0,0,249
-12,124,7144,78,728,-545,0,0,0,250
-20,92,7220,50,732,-529,0,0,0,251
-48,60,7108,85,661,-559,0,0,0,252
-60,104,7112,82,687,-581,0,0,0,253
-8,72,7080,73,684,-479,0,0,0,254
-36,56,7184,71,665,-544,0,0,0,255
-72,44,7196,87,737,-517,0,0,0,256
8,80,7128,59,690,-508,0,0,0,257
44,84,7204,82,694,-539,0,0,0,258
-56,40,7176,59,691,-486,0,0,0,259
-24,144,7176,101,651,-479,0,0,0,260
-36,120,7140,57,652,-462,0,0,0,261
-12,128,7120,78,645,-571,0,0,0,262
-48,36,7060,68,689,-517,0,0,0,263
-28,128,7148,104,667,-531,0,0,0,264
-56,104,7152,32,691,-485,0,0,0,265
-40,76,7172,35,627,-486,0,0,0,266
-72,112,7100,91,701,-526,0,0,0,267
-64,124,7108,64,724,-565,0,0,0,268
-32,80,7152,65,736,-507,0,0,0,269
-120,76,7124,63,669,-477,0,0,0,270
-68,116,7112,105,715,-486,0,0,0,271
-80,100,7160,76,695,-524,0,0,0,272
-64,128,7080,30,684,-574,0,0,0,273
-32,8,7148,50,678,-484,0,0,0,274
-40,144,7116,76,673,-529,0,0,0,275
-100,144,7104,57,712,-527,0,0,0,276
-64,92,7080,94,722,-522,0,0,0,277
4,124,7224,38,672,-475,0,0,0,278
-36,100,7108,85,700,-507,0,0,0,279
-68,44,7148,29,695,-524,0,0,0,280
-28,100,7128,124,687,-502,0,0,0,281
-20,64,7128,87,644,-518,0,0,0,282
-48,56,7120,97,666,-498,0,0,0,283
36,24,7120,88,611,-559,0,0,0,284
-12,20,7188,63,667,-501,0,0,0,285
-64,68,7192,121,712,-513,0,0,0,286
-72,104,7160,133,716,-521,0,0,0,287
-16,44,7120,114,641,-498,0,0,0,288
-4,148,7152,120,681,-560,0,0,0,289
-24,88,7268,13,665,-540,0,0,0,290
-16,88,7180,55,710,-567,0,0,0,291
-76,92,7124,83,733,-488,0,0,0,292
-88,140,7136,72,690,-583,0,0,0,293
-36,116,7140,61,664,-557,0,0,0,294
-52,100,7188,58,733,-472,0,0,0,295
-56,144,7100,79,621,-552,0,0,0,296
-84,56,7112,110,703,-499,0,0,0,297
-76,88,7064,99,664,-516,0,0,0,298
-68,144,7064,21,673,-482,0,0,0,299
-56,136,7088,68,681,-530,0,0,0,300
-8,112,7124,143,695,-564,0,0,0,301
-84,92,7212,74,679,-515,0,0,0,302
-40,136,7124,84,650,-548,0,0,0,303
-36,32,7060,54,703,-500,0,0,0,304
-84,100,7092,107,644,-527,0,0,0,305
-32,96,7056,61,695,-479,0,0,0,306
36,148,7164,59,696,-581,0,0,0,307
-32,88,7072,33,679,-425,0,0,0,308
-64,4,7168,75,689,-508,0,0,0,309
-60,132,7096,96,698,-474,0,0,0,310
-64,104,7152,21,658,-477,0,0,0,311
-12,100,7096,66,730,-473,0,0,0,312
-76,80,7156,96,630,-562,0,0,0,313
-44,124,7168,23,614,-521,0,0,0,314
-12,108,7132,71,677,-565,0,0,0,315
-40,104,7088,99,715,-540,0,0,0,316
-16,124,7096,85,689,-483,0,0,0,317
-28,64,7120,96,658,-500,0,0,0,318
-52,4,7060,138,637,-495,0,0,0,319
-68,24,7120,55,673,-552,0,0,0,320
0,124,7188,79,672,-528,0,0,0,321
-12,96,7036,85,657,-511,0,0,0,324
-20,92,7164,108,706,-503,0,0,0,325
-52,108,7108,134,638,-462,0,0,0,326
-64,88,7148,30,661,-518,0,0,0,327
-80,88,7112,53,675,-451,0,0,0,328
-64,92,7140,44,705,-537,0,0,0,329
-32,84,7104,42,692,-525,0,0,0,330
-60,88,7020,78,722,-485,0,0,0,331
-96,96,7140,40,671,-573,0,0,0,332
-28,92,7144,78,656,-479,0,0,0,333
-56,88,7120,31,673,-531,0,0,0,334
-40,128,7108,41,698,-537,0,0,0,335
-36,60,7176,75,653,-563,0,0,0,336
-44,96,7084,87,684,-498,0,0,0,337
-20,88,7284,87,634,-495,0,0,0,338
-44,108,7136,78,691,-493,0,0,0,339
-80,96,7032,42,724,-481,0,0,0,340
-36,88,7120,90,696,-424,0,0,0,341
4,44,7180,53,675,-495,0,0,0,342
-16,72,7148,61,618,-540,0,0,0,343
-24,72,7160,91,618,-505,0,0,0,344
-48,32,7176,54,649,-486,0,0,0,345
-52,56,7148,73,653,-528,0,0,0,346
-40,96,7064,25,668,-478,0,0,0,347
-28,88,7132,94,664,-461,0,0,0,348
-52,132,7108,71,717,-496,0,0,0,351
-68,84,7096,71,665,-526,0,0,0,352
-48,124,7088,82,698,-473,0,0,0,353
-128,84,7088,83,673,-524,0,0,0,354
-52,92,7088,59,708,-507,0,0,0,355
-108,112,7144,73,715,-491,0,0,0,356
-56,100,7184,72,667,-486,0,0,0,357
-44,124,7124,69,686,-465,0,0,0,358
-48,140,7148,100,675,-556,0,0,0,359
-76,116,7164,68,708,-510,0,0,0,360
-88,92,7104,61,669,-528,0,0,0,361
-48,136,7160,78,624,-514,0,0,0,362
-36,56,7168,21,669,-550,0,0,0,363
12,144,7144,63,682,-512,0,0,0,364
-44,48,7160,80,712,-488,0,0,0,365
-52,112,7176,78,622,-469,0,0,0,366
-52,76,7164,78,673,-570,0,0,0,367
-112,100,7140,73,694,-538,0,0,0,368
-48,116,7220,77,673,-550,0,0,0,369
-20,16,7160,98,665,-496,0,0,0,370
16,76,7120,124,687,-531,0,0,0,371
-28,132,7120,75,625,-492,0,0,0,372
-52,132,7072,71,698,-486,0,0,0,373
8,120,7136,87,728,-485,0,0,0,374
-12,124,7144,82,697,-502,0,0,0,375
0,120,7156,86,691,-543,0,0,0,376
-52,116,7192,104,680,-527,0,0,0,379
-48,124,7108,61,712,-534,0,0,0,380
